train_no,train_name,route_id,train_type,priority,journey_date,day_of_week,month,season,is_festival_day,station_seq,from_station,to_station,distance_from_origin_km,section_distance_km,scheduled_arrival_min_from_origin,scheduled_departure_min_from_origin,halt_min_scheduled,section_permissible_speed_kmph,section_scheduled_avg_speed_kmph,fog_prone_section,congestion_level_static,departure_hour_of_day,weather_condition,visibility_m,temperature_c,is_tsr_event,tsr_effective_speed_kmph,prev_station_arrival_delay_min,rolling_avg_delay_last3_min,arrival_delay_min,actual_running_min,section_avg_speed_kmph,speed_anomaly_flag,recovered_min
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-01,2,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,23.4,False,,0.0,2.0,2.0,152.0,79.0,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-01,2,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,28.3,True,48,2.0,79.0,156.0,299.0,40.1,True,2.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-01,2,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,28.7,False,,156.0,105.2,157.5,211.5,85.1,False,22.3
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-01,2,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,30.8,False,,157.5,155.2,152.1,274.6,87.4,False,15.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-01,2,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,28.5,False,,152.1,153.4,150.5,218.4,78.0,False,16.6
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-02,3,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,25.7,False,,0.0,32.7,32.7,182.7,65.7,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-02,3,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,29.7,False,,32.7,33.8,34.9,147.2,81.5,False,9.9
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-02,3,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,36.0,False,,34.9,32.7,30.5,205.6,87.6,False,19.9
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-02,3,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,35.9,False,,30.5,23.5,5.2,254.7,94.2,False,26.3
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-02,3,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,31.1,False,,5.2,20.6,26.0,240.8,70.8,False,5.2
