train_no,seq,station_code,distance_from_origin_km,scheduled_arrival_min,scheduled_departure_min,halt_min
12951,0,NDLS,0.0,0,0,0
12951,1,AGC,200.0,150,152,2
12951,2,JHS,400.0,297,302,5
12951,3,BPL,700.0,512,517,5
12951,4,BAU,1100.0,797,802,5
12951,5,BCT,1384.0,1022,1022,0
19269,0,NDLS,0.0,0,0,0
19269,1,AGC,200.0,150,152,2
19269,2,JHS,400.0,297,302,5
19269,3,BPL,700.0,512,517,5
19269,4,BAU,1100.0,797,802,5
19269,5,BCT,1384.0,1022,1022,0
12459,0,NDLS,0.0,0,0,0
12459,1,UMB,200.0,160,165,5
12459,2,JUC,400.0,330,335,5
12459,3,ASR,449.0,385,385,0
14673,0,NDLS,0.0,0,0,0
14673,1,UMB,200.0,160,165,5
14673,2,JUC,400.0,330,335,5
14673,3,ASR,449.0,385,385,0
12007,0,SBC,0.0,0,0,0
12007,1,KPN,214.0,160,163,3
12007,2,JTJ,250.0,198,201,3
12007,3,MAS,362.0,296,296,0
16021,0,SBC,0.0,0,0,0
16021,1,KPN,214.0,160,163,3
16021,2,JTJ,250.0,198,201,3
16021,3,MAS,362.0,296,296,0
12302,0,HWH,0.0,0,0,0
12302,1,DHN,260.0,220,230,10
12302,2,GAYA,420.0,380,385,5
12302,3,DDU,570.0,525,535,10
12302,4,CNB,890.0,795,800,5
12302,5,NDLS,1330.0,1120,1120,0
13005,0,HWH,0.0,0,0,0
13005,1,DHN,260.0,220,230,10
13005,2,GAYA,420.0,380,385,5
13005,3,DDU,570.0,525,535,10
13005,4,CNB,890.0,795,800,5
13005,5,NDLS,1330.0,1120,1120,0
56215,0,MYS,0.0,0,0,0
56215,1,SRGN,15.0,20,22,2
56215,2,MYA,46.0,57,59,2
56215,3,CPT,87.0,104,106,2
56215,4,RRB,97.0,121,123,2
56215,5,SBC,139.0,178,178,0
06231,0,MYS,0.0,0,0,0
06231,1,SRGN,15.0,20,22,2
06231,2,MYA,46.0,57,59,2
06231,3,CPT,87.0,104,106,2
06231,4,RRB,97.0,121,123,2
06231,5,SBC,139.0,178,178,0
