route_id,seq,from_code,to_code,distance_km,scheduled_min,scheduled_avg_speed_kmph,permissible_speed_kmph,terrain,fog_prone,congestion_level,halt_min_at_to
R1,1,NDLS,AGC,200,150,80.0,130,plain,True,0.55,2
R1,2,AGC,JHS,200,145,82.8,120,plain,True,0.45,5
R1,3,JHS,BPL,300,210,85.7,110,plain,False,0.4,5
R1,4,BPL,BAU,400,280,85.7,100,plain,False,0.5,5
R1,5,BAU,BCT,284,220,77.5,100,ghat,False,0.65,0
R2,1,NDLS,UMB,200,160,75.0,110,plain,True,0.35,5
R2,2,UMB,JUC,200,165,72.7,100,plain,True,0.3,5
R2,3,JUC,ASR,49,50,58.8,90,plain,True,0.25,0
R3,1,SBC,KPN,214,160,80.2,110,plain,False,0.3,3
R3,2,KPN,JTJ,36,35,61.7,100,plain,False,0.2,3
R3,3,JTJ,MAS,112,95,70.7,110,coastal,False,0.35,0
R4,1,HWH,DHN,260,220,70.9,90,plain,False,0.7,10
R4,2,DHN,GAYA,160,150,64.0,90,plain,False,0.6,5
R4,3,GAYA,DDU,150,140,64.3,90,plain,False,0.55,10
R4,4,DDU,CNB,320,260,73.8,100,plain,True,0.6,5
R4,5,CNB,NDLS,440,320,82.5,110,plain,True,0.65,0
R5,1,MYS,SRGN,15,20,45.0,70,urban_approach,False,0.2,2
R5,2,SRGN,MYA,31,35,53.1,80,plain,False,0.2,2
R5,3,MYA,CPT,41,45,54.7,80,plain,False,0.25,2
R5,4,CPT,RRB,10,15,40.0,70,plain,False,0.25,2
R5,5,RRB,SBC,42,55,45.8,90,urban_approach,False,0.45,0
