station_code,station_name,latitude,longitude
NDLS,New Delhi,28.6431,77.2197
AGC,Agra Cantt,27.1591,78.0092
JHS,Jhansi Jn,25.4484,78.5685
BPL,Bhopal Jn,23.2599,77.4126
BAU,Bhusaval Jn,21.0433,75.7849
BCT,Mumbai Central,18.9696,72.8194
UMB,Ambala Cantt,30.3398,76.829
JUC,Jalandhar City,31.326,75.5762
ASR,Amritsar Jn,31.634,74.8723
SBC,Bengaluru City,12.9767,77.5697
KPN,Katpadi Jn,12.9698,79.1364
JTJ,Jolarpettai Jn,12.5762,78.573
MAS,Chennai Central,13.0827,80.2707
HWH,Howrah Jn,22.5851,88.3468
DHN,Dhanbad Jn,23.7957,86.4304
GAYA,Gaya Jn,24.7955,84.9994
DDU,Pt Deen Dayal Upadhyaya Jn,25.2803,83.1259
CNB,Kanpur Central,26.4499,80.3319
MYS,Mysuru Jn,12.3072,76.6553
SRGN,Srirangapatna,12.4192,76.6936
MYA,Mandya,12.5237,76.8974
CPT,Channapatna,12.6514,77.2065
RRB,Ramanagara,12.7217,77.2818
