train_no,train_name,route_id,train_type,priority,recovery_fraction,days_of_week,origin_departure_time
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,0.12,0|1|2|3|4|5|6,16:00
19269,Bandra Superfast Express,R1,superfast,2,0.08,0|2|4,23:00
12459,Swarna Shatabdi (NDLS-ASR),R2,rajdhani_shatabdi_vb,1,0.1,0|1|2|3|4|5|6,07:20
14673,Amritsar Superfast Express,R2,superfast,2,0.07,1|3|5|6,21:10
12007,Shatabdi Express (SBC-MAS),R3,rajdhani_shatabdi_vb,1,0.1,0|1|2|3|4|5|6,06:00
16021,Kaveri Express,R3,express,3,0.06,0|1|2|3|4|5|6,21:45
12302,Howrah Rajdhani Express,R4,rajdhani_shatabdi_vb,1,0.1,0|1|2|3|4|5|6,16:55
13005,Amritsar Mail (via Grand Chord),R4,express,3,0.05,0|1|2|3|4|5|6,19:15
56215,Mysuru-Bengaluru Passenger,R5,passenger,5,0.03,0|1|2|3|4|5|6,06:30
06231,Mysuru-Bengaluru MEMU Special,R5,passenger,5,0.03,0|1|2|3|4|5|6,17:45
